time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-04T18:53:47.750Z,33.2873333,-115.8755,1.15,1.16,ml,11,80,0.1357,0.2,ci,ci38349344,2018-11-04T18:57:49.315Z,"8km E of Salton City, CA",earthquake,0.69,31.61,0.187,20,automatic,ci,ci
2018-11-04T18:48:23.790Z,55.8943,-149.9913,8.6,4.4,mb,,170,2.258,1.05,us,us2000i6s3,2018-11-04T19:01:56.040Z,"257km SE of Kodiak, Alaska",earthquake,9,7.6,0.38,2,reviewed,us,us
2018-11-04T18:44:19.140Z,33.5126667,-116.7981667,2.76,0.48,ml,16,71,0.001848,0.13,ci,ci38349336,2018-11-04T18:47:58.242Z,"10km NE of Aguanga, CA",earthquake,0.26,0.27,0.138,11,automatic,ci,ci
2018-11-04T18:38:58.050Z,33.8945,-117.0203333,7.82,1.14,ml,10,93,0.04257,0.22,ci,ci38349312,2018-11-04T18:42:41.213Z,"6km SW of Beaumont, CA",earthquake,0.69,2.04,0.404,13,automatic,ci,ci
2018-11-04T18:25:41.570Z,33.51,-116.8,3.66,1,ml,42,37,0.002382,0.18,ci,ci38349304,2018-11-04T18:29:18.126Z,"10km NE of Aguanga, CA",earthquake,0.19,0.47,0.167,29,automatic,ci,ci
2018-11-04T18:19:47.442Z,60.2456,-140.6343,4.1,2.1,ml,,,,0.92,ak,ak20325014,2018-11-04T18:33:15.343Z,"92km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-04T18:19:17.770Z,64.8912,-148.8398,31.4,1.1,ml,,,,0.68,ak,ak20325013,2018-11-04T18:22:02.178Z,"37km NNE of North Nenana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-04T17:54:20.050Z,33.5945,-116.826,6.23,0.11,ml,10,173,0.03981,0.15,ci,ci38349280,2018-11-04T17:57:54.952Z,"15km WNW of Anza, CA",earthquake,0.65,0.85,0.081,4,automatic,ci,ci
2018-11-04T17:37:21.750Z,18.0083,-66.528,14,1.57,md,4,302,0.0839,0.08,pr,pr2018308009,2018-11-04T19:03:41.141Z,"1km SSE of Aguilita, Puerto Rico",earthquake,0.97,0.48,0.21,2,reviewed,pr,pr
2018-11-04T17:32:12.260Z,33.9866667,-116.9323333,6.16,1.98,ml,78,43,0.07647,0.19,ci,ci38349264,2018-11-04T17:42:49.470Z,"8km NNE of Beaumont, CA",earthquake,0.19,0.62,0.249,24,automatic,ci,ci
2018-11-04T16:57:20.190Z,33.497,-116.7931667,6.4,1.46,ml,61,33,0.01646,0.19,ci,ci38349232,2018-11-04T17:08:39.350Z,"9km NE of Aguanga, CA",earthquake,0.18,0.51,0.116,26,automatic,ci,ci
2018-11-04T16:46:18.540Z,44.8096667,-111.1123333,13.68,1.23,ml,10,146,0.01412,0.12,uu,uu60303527,2018-11-04T17:12:22.680Z,"16km N of West Yellowstone, Montana",earthquake,0.76,1.28,0.324,3,reviewed,uu,uu
2018-11-04T16:35:19.500Z,37.6231651,-118.9113312,2.31,0.76,md,8,105,0.00731,0.02,nc,nc73106631,2018-11-04T16:59:02.173Z,"6km ESE of Mammoth Lakes, CA",earthquake,0.84,0.99,0.17,8,automatic,nc,nc
2018-11-04T16:15:35.176Z,61.2725,-150.2197,33.8,1.9,ml,,,,0.54,ak,ak20324631,2018-11-04T16:21:53.341Z,"18km WNW of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-04T16:01:54.700Z,35.3138333,-118.5198333,5.5,1.75,ml,33,75,0.08407,0.15,ci,ci38349200,2018-11-04T16:12:24.450Z,"21km NNW of Tehachapi, CA",earthquake,0.24,0.99,0.238,28,automatic,ci,ci
2018-11-04T15:58:58.220Z,65.9461,-147.4061,6.1,2.7,ml,,,,0.87,ak,ak20324621,2018-11-04T16:11:04.550Z,"118km SW of Fort Yukon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-04T15:41:31.956Z,61.0746,-151.4305,7.1,2.3,ml,,,,0.69,ak,ak20324611,2018-11-04T16:00:15.502Z,"43km N of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-04T15:31:17.740Z,38.7991676,-122.7799988,2.97,1.01,md,18,59,0.008605,0.06,nc,nc73106591,2018-11-04T16:25:03.988Z,"3km NW of The Geysers, CA",earthquake,0.3,0.57,0.1,4,automatic,nc,nc
2018-11-04T14:56:01.720Z,33.6026667,-116.6778333,14.06,0.35,ml,20,58,0.05335,0.23,ci,ci38349152,2018-11-04T15:46:27.641Z,"5km N of Anza, CA",earthquake,0.53,0.73,0.172,9,reviewed,ci,ci
2018-11-04T14:50:04.920Z,33.2476667,-116.6758333,7.23,0.94,ml,41,42,0.05399,0.19,ci,ci38349144,2018-11-04T14:53:48.202Z,"6km SW of Warner Springs, CA",earthquake,0.26,0.7,0.128,26,automatic,ci,ci
2018-11-04T14:48:30.010Z,35.3133333,-118.518,5.13,1.72,ml,29,75,0.08249,0.17,ci,ci38349136,2018-11-04T15:47:24.330Z,"21km NNW of Tehachapi, CA",earthquake,0.28,0.75,0.267,27,reviewed,ci,ci
2018-11-04T14:25:35.160Z,36.6834984,-121.3033371,6.83,1.18,md,11,175,0.04108,0.22,nc,nc73106536,2018-11-04T15:42:04.749Z,"12km S of Tres Pinos, CA",earthquake,1.05,4.34,0.35,8,automatic,nc,nc
2018-11-04T14:25:22.070Z,-24.195,-67.3297,175.22,4.4,mb,,90,1.462,0.77,us,us2000i6r0,2018-11-04T15:30:50.040Z,"102km W of San Antonio de los Cobres, Argentina",earthquake,7.7,9.5,0.22,6,reviewed,us,us
2018-11-04T14:20:44.380Z,33.5472,89.3869,6.33,4.5,mb,,73,4.109,0.44,us,us2000i6qz,2018-11-04T17:38:25.040Z,"203km NNW of Pubu, China",earthquake,5.6,5,0.104,27,reviewed,us,us
2018-11-04T14:20:14.080Z,62.4344,-152.3492,9.5,1.4,ml,,,,0.94,ak,ak20323874,2018-11-04T14:26:57.802Z,"116km W of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-04T14:15:44.185Z,63.5893,-150.7414,4.9,2.3,ml,,,,0.83,ak,ak20323869,2018-11-04T14:23:04.427Z,"91km WNW of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-04T14:09:35.680Z,33.489,-116.8028333,3.68,0.26,ml,13,143,0.0234,0.13,ci,ci38349120,2018-11-04T15:46:39.303Z,"8km NE of Aguanga, CA",earthquake,0.4,0.72,0.077,7,reviewed,ci,ci
2018-11-04T14:03:08.592Z,58.7306,-153.7275,0,2.2,ml,,,,0.73,ak,ak20323864,2018-11-04T14:07:23.797Z,"126km NNW of Kodiak Station, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-04T14:01:48.000Z,33.5105,-116.7975,2.81,0.37,ml,22,45,0.003025,0.12,ci,ci38349112,2018-11-04T15:47:29.180Z,"10km NE of Aguanga, CA",earthquake,0.23,0.66,0.086,9,reviewed,ci,ci
2018-11-04T13:38:21.115Z,60.9086,-152.5063,180.1,2.4,ml,,,,0.52,ak,ak20323861,2018-11-04T13:41:47.594Z,"48km NNE of Redoubt Volcano, Alaska",earthquake,,4.3,,,automatic,ak,ak
2018-11-04T13:27:32.280Z,-18.804,-177.447,554.56,4.5,mb,,94,4.403,1.37,us,us2000i6qx,2018-11-04T14:40:20.040Z,"242km NNE of Ndoi Island, Fiji",earthquake,15.5,6.1,0.093,34,reviewed,us,us
2018-11-04T13:22:28.080Z,33.6338333,-116.6908333,12.62,0.52,ml,24,94,0.07308,0.13,ci,ci38349088,2018-11-04T15:47:32.080Z,"9km N of Anza, CA",earthquake,0.26,0.4,0.115,13,reviewed,ci,ci
